blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Latitude,Longitude
456,SEGAR RD,16,2011,Y,N,N,Y,N,N,BP,90,0,0,15,75,0,0,0,0,0,0,0,0,456 SEGAR RD,1.29801124613722,103.797090699239
456,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0,456 TAMPINES ST 42,1.3252487729987,103.886757553674
456,YISHUN ST 41,13,2011,Y,N,N,N,N,N,YS,96,0,0,48,48,0,0,0,0,0,0,0,0,456 YISHUN ST 41,1.28414799093318,103.833436351788
456A,SENGKANG WEST RD,13,2019,Y,N,N,N,N,N,SK,132,0,84,24,24,0,0,0,0,0,0,0,0,456A SENGKANG WEST RD,1.33675035701881,103.851794384284
456B,SENGKANG WEST RD,13,2019,Y,N,N,N,N,N,SK,144,0,96,24,24,0,0,0,0,0,0,0,0,456B SENGKANG WEST RD,1.32405898618809,103.940695612461
457,ANG MO KIO AVE 10,13,1979,Y,N,N,N,N,N,AMK,230,0,0,195,24,6,4,0,0,0,0,1,0,457 ANG MO KIO AVE 10,1.29318964398969,103.81125258838
457,CHOA CHU KANG AVE 4,16,1998,Y,N,N,N,N,N,CCK,123,0,0,0,0,62,61,0,0,0,0,0,0,457 CHOA CHU KANG AVE 4,1.2753534329115,103.813588303131
457,CLEMENTI AVE 3,25,2001,Y,N,N,N,N,N,CL,94,0,0,0,94,0,0,0,0,0,0,0,0,457 CLEMENTI AVE 3,1.32265385433949,103.868226925188
457,HOUGANG AVE 10,13,1990,Y,N,N,N,N,N,HG,72,0,0,0,72,0,0,0,0,0,0,0,0,457 HOUGANG AVE 10,1.32212605377883,103.867995537199
457,JURONG WEST ST 41,12,1983,Y,N,N,Y,N,N,JW,110,0,0,66,44,0,0,0,0,0,0,0,0,457 JURONG WEST ST 41,1.32221075711137,103.868500280143
457,PASIR RIS DR 4,12,1992,Y,N,N,N,N,N,PRC,66,0,0,0,0,0,66,0,0,0,0,0,0,457 PASIR RIS DR 4,1.37122178516983,103.853853154442
457,SEGAR RD,16,2011,Y,N,N,N,N,N,BP,90,0,0,15,75,0,0,0,0,0,0,0,0,457 SEGAR RD,1.45035573249189,103.826654919951
457,TAMPINES ST 42,4,1986,Y,N,N,N,N,N,TAP,16,0,0,0,10,6,0,0,0,0,0,0,0,457 TAMPINES ST 42,1.45008621870701,103.827067209255
457,YISHUN ST 41,13,2012,Y,N,N,N,N,N,YS,72,0,0,0,72,0,0,0,0,0,0,0,0,457 YISHUN ST 41,1.44994314368403,103.82672063438
457A,SENGKANG WEST RD,14,2019,Y,N,N,Y,N,N,SK,90,0,0,0,26,64,0,0,0,0,0,0,0,457A SENGKANG WEST RD,1.45075627789135,103.826236742405
457B,SENGKANG WEST RD,14,2019,Y,N,N,N,N,N,SK,169,0,117,26,26,0,0,0,0,0,0,0,0,457B SENGKANG WEST RD,1.45093939112951,103.827087654463
458,ANG MO KIO AVE 10,25,1979,Y,N,N,N,N,N,AMK,96,0,0,0,0,96,0,0,0,0,0,0,0,458 ANG MO KIO AVE 10,1.45066388771139,103.827601887037
458,CHOA CHU KANG AVE 4,16,1998,Y,N,N,N,N,N,CCK,123,0,0,0,0,62,61,0,0,0,0,0,0,458 CHOA CHU KANG AVE 4,1.45093931289388,103.828070545183
458,CLEMENTI AVE 3,22,2001,Y,N,N,N,N,N,CL,74,0,0,0,0,74,0,0,0,0,0,0,0,458 CLEMENTI AVE 3,1.45154716074707,103.827907536375
458,HOUGANG AVE 10,9,1990,Y,Y,N,Y,N,N,HG,80,0,0,0,80,0,0,0,0,0,0,0,0,458 HOUGANG AVE 10,1.4513699701967,103.828324578002
458,JURONG WEST ST 41,12,1983,Y,N,N,Y,N,N,JW,110,0,0,0,110,0,0,0,0,0,0,0,0,458 JURONG WEST ST 41,1.37243023974423,103.850949173949
458,PASIR RIS DR 4,12,1992,Y,N,N,Y,N,N,PRC,108,0,0,0,64,44,0,0,0,0,0,0,0,458 PASIR RIS DR 4,1.37205123278789,103.850545847531
458,SEGAR RD,16,2010,Y,N,N,N,N,N,BP,120,0,0,30,90,0,0,0,0,0,0,0,0,458 SEGAR RD,1.37187135282659,103.851030423419
458,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0,458 TAMPINES ST 42,1.30399231690916,103.864419251804
458,YISHUN AVE 11,13,2012,Y,Y,N,N,N,N,YS,144,0,0,0,144,0,0,0,0,0,0,0,0,458 YISHUN AVE 11,1.32221710776614,103.934991224907
458A,SENGKANG WEST RD,14,2019,Y,N,N,N,N,N,SK,90,0,0,0,26,64,0,0,0,0,0,0,0,458A SENGKANG WEST RD,1.27667381111121,103.838789134895
458B,SENGKANG WEST RD,14,2019,Y,N,N,N,N,N,SK,90,0,0,0,26,64,0,0,0,0,0,0,0,458B SENGKANG WEST RD,1.31317618810987,103.897214949603
458C,SENGKANG WEST RD,14,2019,Y,N,N,N,N,N,SK,169,0,130,13,26,0,0,0,0,0,0,0,0,458C SENGKANG WEST RD,1.30711568626095,103.795264617136
459,ANG MO KIO AVE 10,25,1979,Y,N,N,Y,N,N,AMK,96,0,0,0,0,96,0,0,0,0,0,0,0,459 ANG MO KIO AVE 10,1.36271446291047,103.893980503167
459,CHOA CHU KANG AVE 4,12,1998,Y,N,N,N,N,N,CCK,55,0,0,0,44,11,0,0,0,0,0,0,0,459 CHOA CHU KANG AVE 4,1.33601629281198,103.787894887695
459,CLEMENTI AVE 3,25,2001,Y,N,N,N,N,N,CL,95,0,0,0,0,95,0,0,0,0,0,0,0,459 CLEMENTI AVE 3,1.28763869859867,103.831443269057
